MIDI note number	Scientific pitch name [5]	Frequency f ( n ) ( Hz ) (Equal temperament) [6]_frozen
96	C 7  Double high C 	2093
95	B 6 	1975
94	A ♯ 6 /B ♭ 6 	1864
93	A 6 	1760
92	G ♯ 6 /A ♭ 6 	1661
91	G 6 	1567
90	F ♯ 6 /G ♭ 6 	1479
89	F 6 	1396
88	E 6 	1318
87	D ♯ 6 /E ♭ 6 	1244
86	D 6 	1174
85	C ♯ 6 /D ♭ 6 	1108
84	C 6  Soprano C (High C)	1046
83	B 5 	987
82	A ♯ 5 /B ♭ 5 	932
81	A 5 	880
80	G ♯ 5 /A ♭ 5 	830
79	G 5 	783
78	F ♯ 5 /G ♭ 5 	739
77	F 5 	698
76	E 5 	659
75	D ♯ 5 /E ♭ 5 	622
74	D 5 	587
73	C ♯ 5 /D ♭ 5 	554
72	C 5  Tenor C 	523
71	B 4 	493
70	A ♯ 4 /B ♭ 4 	466
69	A 4  A440 	440
68	G ♯ 4 /A ♭ 4 	415
67	G 4 	391
66	F ♯ 4 /G ♭ 4 	369
65	F 4 	349
64	E 4 	329
63	D ♯ 4 /E ♭ 4 	311
62	D 4 	293
61	C ♯ 4 /D ♭ 4 	277
60	C 4  Middle C 	261
59	B 3 	246
58	A ♯ 3 /B ♭ 3 	233
57	A 3 	220
56	G ♯ 3 /A ♭ 3 	207
55	G 3 	195
54	F ♯ 3 /G ♭ 3 	184
53	F 3 	174
52	E 3 	164
51	D ♯ 3 /E ♭ 3 	155
50	D 3 	146
49	C ♯ 3 /D ♭ 3 	138
48	C 3 	130
47	B 2 	123
46	A ♯ 2 /B ♭ 2 	116
45	A 2 	110
44	G ♯ 2 /A ♭ 2 	103
43	G 2 	97
42	F ♯ 2 /G ♭ 2 	92
41	F 2 	87
40	E 2 	82
39	D ♯ 2 /E ♭ 2 	77
38	D 2 	73
37	C ♯ 2 /D ♭ 2 	69
36	C 2  Deep C 	65
